SubID;Part;utility_ArrayEXP1;current_leftchosenEXP;current_subblogEXP;current_unchosenImEXP;current_unchosenProbEXP;elapsedTimeEXP;left_OutArrayEXP;leftimEXP;left_ProbabilityEXP;rightimEXP;right_ProbabilityEXP;left_OutArrayEXP.1;right_OutArrayEXP;outcomeArrayEXP;scoreArrayEXP;current_chosenImEXP;current_chosenProbEXP;clicksArrayEXP2;elapsed_timeEXP2;left_imagesEXP2;left_probabilityEXP2;leftOutcomesEXP2;outcomeArrayEXP2;right_imagesEXP2;right_probabilityEXP2;rightOutcomesEXP2;scoreArrayEXP2;selected_imageEXP2;selected_probabilityEXP2;selected_sideEXP2;trialIconsEXP2;trialPiechartProbsEXP2;trialPiechartTypesEXP2;trialRunsEXP2;utility_ArrayEXP2;selectedImageNamesArrayEXP;confidenceLevelsArrayEXP;sliderResponsesArrayEXP;Trial_Num;accurate_rating;Unnamed: 42;Unnamed: 43;Unnamed: 44;scoreEXP2;outcomeArrayEXP1All;correct_probability;value_differences_EXP2;value_differences_LE
1;1;-1.0;0.0;1.0;'Magnet';0.75;2.18767261505127;1.0;'Magnet';0.75;'Mark';0.25;1.0;-1.0;-1.0;-1.0;'Mark';0.25;1;1.28402376174927;'Cycle';0.375;1;1;'Pie1';0.25;0;1;Cycle';0.375;'left';'Cycle';0.25;1;1;1;'Fire';5.0;82.0;1.0;0.625;;;;450.0;-1.0;;12;2.0
1;1;1.0;1.0;1.0;'Mark';0.25;0.983512878417969;1.0;'Magnet';0.75;'Mark';0.25;1.0;-1.0;1.0;0.0;'Magnet';0.75;1;2.67003607749939;'Cycle';0.375;1;1;'Pie1';0.125;0;2;'Cycle';0.375;'left';'Cycle';0.125;1;5;1;'Pie16';5.0;78.0;2.0;0.75;;;;450.0;1.0;;21;2.0
1;1;1.0;1.0;1.0;'Mark';0.25;0.604299306869507;1.0;'Magnet';0.75;'Mark';0.25;1.0;-1.0;1.0;1.0;'Magnet';0.75;1;1.83898830413818;'Pie2';0.375;0;0;'Cycle';0.375;0;1;'Pie2';0.375;'left';'Cycle';0.375;2;2;-1;'Pie22';4.0;25.0;3.0;0.25;;;;450.0;1.0;;71;2.0
1;1;1.0;1.0;1.0;'Mark';0.25;0.600807428359985;1.0;'Magnet';0.75;'Mark';0.25;1.0;1.0;1.0;2.0;'Magnet';0.75;1;0.914345502853394;'Menu';0.875;1;1;'Pie2';0.25;0;2;'Menu';0.875;'left';'Menu';0.25;2;5;1;'Pie33';4.0;64.0;4.0;0.375;;;;450.0;1.0;;52;2.0
1;1;1.0;0.0;1.0;'Mark';0.25;1.33327150344849;-1.0;'Mark';0.25;'Magnet';0.75;-1.0;1.0;1.0;3.0;'Magnet';0.75;1;3.45103287696838;'Intersection';0.125;0;0;'Pie3';0.125;0;1;'Intersection';0.125;'left';'Intersection';0.125;3;5;-1;'Pie43';3.0;29.0;5.0;0.375;;;;450.0;1.0;;71;2.0
1;1;1.0;1.0;1.0;'Mark';0.25;0.595807790756226;1.0;'Magnet';0.75;'Mark';0.25;1.0;-1.0;1.0;4.0;'Magnet';0.75;0;7.19620156288147;'Fire';0.625;0;1;'Pie3';0.875;1;2;'Pie3';0.875;'right';'Fire';0.875;3;4;1;'Pie23';4.0;32.0;6.0;0.375;;;;450.0;1.0;;25;2.0
1;1;-1.0;1.0;1.0;'Mark';0.25;0.440929651260376;-1.0;'Magnet';0.75;'Mark';0.25;-1.0;-1.0;-1.0;3.0;'Magnet';0.75;0;1.3570396900177;'Cycle';0.375;0;1;'Pie1';0.625;1;3;'Pie1';0.625;'right';'Cycle';0.625;1;2;1;'Pie42';4.0;17.0;7.0;0.25;;;;450.0;-1.0;;23;2.0
1;1;1.0;1.0;1.0;'Mark';0.25;0.780133485794067;1.0;'Magnet';0.75;'Mark';0.25;1.0;-1.0;1.0;4.0;'Magnet';0.75;1;3.25207757949829;'Pie1';0.25;1;1;'Intersection';0.125;0;4;'Pie1';0.25;'left';'Intersection';0.25;1;2;1;'Pie14';5.0;49.0;8.0;0.5;;;;450.0;1.0;;11;2.0
1;1;1.0;0.0;1.0;'Mark';0.25;0.674041509628296;-1.0;'Mark';0.25;'Magnet';0.75;-1.0;1.0;1.0;5.0;'Magnet';0.75;1;0.892839193344116;'Menu';0.875;1;1;'Pie2';0.125;0;5;'Menu';0.875;'left';'Menu';0.125;2;3;1;'Cycle';3.0;16.0;9.0;0.375;;;;450.0;1.0;;61;2.0
1;1;-1.0;0.0;1.0;'Mark';0.25;0.539583683013916;-1.0;'Mark';0.25;'Magnet';0.75;-1.0;-1.0;-1.0;4.0;'Magnet';0.75;0;1.18293166160584;'Intersection';0.125;0;1;'Pie2';0.625;1;6;'Pie2';0.625;'right';'Intersection';0.625;2;3;1;'Pie41';3.0;11.0;10.0;0.125;;;;450.0;-1.0;;41;2.0
